assertj-core                             [3.23.1]
org.eclipse.equinox.transforms.xslt.source [1.2.200.v20220826-1025]
org.eclipse.equinox.useradmin            [1.2.300.v20220720-2012]
org.eclipse.equinox.useradmin.source     [1.2.300.v20220720-2012]
org.eclipse.equinox.weaving.caching      [1.2.200.v20220720-1916]
org.eclipse.equinox.weaving.caching.j9   [1.2.200.v20220720-1916]
org.eclipse.equinox.weaving.caching.j9.source [1.2.200.v20220720-1916]
org.eclipse.equinox.weaving.caching.source [1.2.200.v20220720-1916]
org.eclipse.equinox.weaving.hook         [1.3.200.v20220720-1916]
org.eclipse.equinox.weaving.hook.source  [1.3.200.v20220720-1916]
org.eclipse.help                         [3.9.100.v20210721-0601]
org.eclipse.help.base                    [4.3.800.v20220831-1800]
org.eclipse.help.base.source             [4.3.800.v20220831-1800]
org.eclipse.help.source                  [3.9.100.v20210721-0601]
org.eclipse.help.ui                      [4.4.100.v20220619-1918]
org.eclipse.help.ui.source               [4.4.100.v20220619-1918]
org.eclipse.help.webapp                  [3.10.800.v20220714-2106]
org.eclipse.help.webapp.source           [3.10.800.v20220714-2106]
org.eclipse.jdt                          [3.18.1300.v20220831-1800]
org.eclipse.jdt.annotation               [1.2.100.v20220826-1026, 2.2.700.v20220826-1026]
org.eclipse.jdt.annotation.source        [1.2.100.v20220826-1026, 2.2.700.v20220826-1026]
org.eclipse.jdt.apt.core                 [3.7.50.v20210914-1429]
org.eclipse.jdt.apt.core.source          [3.7.50.v20210914-1429]
org.eclipse.jdt.apt.pluggable.core       [1.3.0.v20210618-1653]
org.eclipse.jdt.apt.pluggable.core.source [1.3.0.v20210618-1653]
org.eclipse.jdt.apt.pluggable.tests      [3.5.0.v20210630-1723]
org.eclipse.jdt.apt.tests                [3.5.50.v20210914-1429]
org.eclipse.jdt.apt.ui                   [3.7.0.v20210620-1751]
org.eclipse.jdt.apt.ui.source            [3.7.0.v20210620-1751]
org.eclipse.jdt.compiler.apt             [1.4.200.v20220802-0458]
org.eclipse.jdt.compiler.apt.source      [1.4.200.v20220802-0458]
org.eclipse.jdt.compiler.apt.tests       [1.2.150.v20220831-1439]
org.eclipse.jdt.compiler.tool            [1.3.200.v20220802-0458]
org.eclipse.jdt.compiler.tool.source     [1.3.200.v20220802-0458]
org.eclipse.jdt.compiler.tool.tests      [1.3.150.v20220318-0906]
org.eclipse.jdt.core                     [3.31.0.v20220831-1439]
org.eclipse.jdt.core.compiler.batch      [3.31.0.v20220831-1439]
org.eclipse.jdt.core.formatterapp        [1.1.0.v20210618-1653]
org.eclipse.jdt.core.formatterapp.source [1.1.0.v20210618-1653]
org.eclipse.jdt.core.manipulation        [1.16.200.v20220824-0551]
org.eclipse.jdt.core.manipulation.source [1.16.200.v20220824-0551]
org.eclipse.jdt.core.source              [3.31.0.v20220831-1439]
org.eclipse.jdt.core.tests.binaries      [1.0.250.v20210713-1056]
org.eclipse.jdt.core.tests.builder       [3.11.200.v20220831-1439]
org.eclipse.jdt.core.tests.compiler      [3.12.2000.v20220831-1439]
org.eclipse.jdt.core.tests.model         [3.11.300.v20220831-1439]
org.eclipse.jdt.core.tests.performance   [3.11.50.v20210914-1429]
org.eclipse.jdt.debug                    [3.19.300.v20220812-1529]
org.eclipse.jdt.debug.source             [3.19.300.v20220812-1529]
org.eclipse.jdt.debug.tests              [3.11.1800.v20220730-1850]
org.eclipse.jdt.debug.ui                 [3.12.800.v20220813-1738]
org.eclipse.jdt.debug.ui.source          [3.12.800.v20220813-1738]
org.eclipse.jdt.doc.isv                  [3.14.1700.v20220831-1613]
org.eclipse.jdt.doc.user                 [3.15.1500.v20220829-1143]
org.eclipse.jdt.junit                    [3.15.0.v20220815-1918]
org.eclipse.jdt.junit.core               [3.11.400.v20220715-1030]
org.eclipse.jdt.junit.core.source        [3.11.400.v20220715-1030]
org.eclipse.jdt.junit.runtime            [3.7.0.v20220609-1843]
org.eclipse.jdt.junit.runtime.source     [3.7.0.v20220609-1843]
org.eclipse.jdt.junit.source             [3.15.0.v20220815-1918]
org.eclipse.jdt.junit4.runtime           [1.3.0.v20220609-1843]
org.eclipse.jdt.junit4.runtime.source    [1.3.0.v20220609-1843]
org.eclipse.jdt.junit5.runtime           [1.1.0.v20220715-1030]
org.eclipse.jdt.junit5.runtime.source    [1.1.0.v20220715-1030]
org.eclipse.jdt.launching                [3.19.700.v20220730-1850]
org.eclipse.jdt.launching.macosx         [3.5.0.v20220610-1811]
org.eclipse.jdt.launching.macosx.source  [3.5.0.v20220610-1811]
org.eclipse.jdt.launching.source         [3.19.700.v20220730-1850]
org.eclipse.jdt.launching.ui.macosx      [1.3.0.v20220610-1811]
org.eclipse.jdt.launching.ui.macosx.source [1.3.0.v20220610-1811]
org.eclipse.jdt.text.tests               [3.13.1800.v20220721-1355]
org.eclipse.jdt.ui                       [3.27.0.v20220824-0714]
org.eclipse.jdt.ui.source                [3.27.0.v20220824-0714]
org.eclipse.jdt.ui.tests                 [3.14.400.v20220824-0551]
org.eclipse.jdt.ui.tests.refactoring     [3.14.400.v20220811-0615]
org.eclipse.jdt.ui.unittest.junit        [1.0.400.v20220715-0751]
org.eclipse.jdt.ui.unittest.junit.source [1.0.400.v20220715-0751]
org.eclipse.jetty.http                   [10.0.11]
org.eclipse.jetty.http.source            [10.0.11]
org.eclipse.jetty.io                     [10.0.11]
org.eclipse.jetty.io.source              [10.0.11]
org.eclipse.jetty.security               [10.0.11]
org.eclipse.jetty.security.source        [10.0.11]
org.eclipse.jetty.server                 [10.0.11]
org.eclipse.jetty.server.source          [10.0.11]
org.eclipse.jetty.servlet                [10.0.11]
org.eclipse.jetty.servlet.source         [10.0.11]
org.eclipse.jetty.util                   [10.0.11]
org.eclipse.jetty.util.ajax              [10.0.11]
org.eclipse.jetty.util.ajax.source       [10.0.11]
org.eclipse.jetty.util.source            [10.0.11]
org.eclipse.jface                        [3.27.0.v20220817-1444]
org.eclipse.jface.databinding            [1.13.0.v20210619-1146]
org.eclipse.jface.databinding.source     [1.13.0.v20210619-1146]
org.eclipse.jface.examples.databinding   [1.3.0.v20220118-1028]
org.eclipse.jface.examples.databinding.source [1.3.0.v20220118-1028]
org.eclipse.jface.notifications          [0.5.0.v20220401-0716]
org.eclipse.jface.notifications.source   [0.5.0.v20220401-0716]
org.eclipse.jface.source                 [3.27.0.v20220817-1444]
org.eclipse.jface.tests                  [1.3.700.v20220720-2118]
org.eclipse.jface.tests.databinding      [1.11.200.v20220720-2118]
org.eclipse.jface.tests.databinding.conformance [1.4.200.v20220720-2118]
org.eclipse.jface.text                   [3.21.0.v20220817-1340]
org.eclipse.jface.text.source            [3.21.0.v20220817-1340]
org.eclipse.jface.text.tests             [3.12.500.v20220506-1519]
org.eclipse.jsch.core                    [1.4.0.v20220813-1037]
org.eclipse.jsch.core.source             [1.4.0.v20220813-1037]
org.eclipse.jsch.tests                   [1.2.0.v20220813-1037]
org.eclipse.jsch.ui                      [1.4.200.v20220812-1406]
org.eclipse.jsch.ui.source               [1.4.200.v20220812-1406]
org.eclipse.ltk.core.refactoring         [3.13.0.v20220822-0502]
org.eclipse.ltk.core.refactoring.source  [3.13.0.v20220822-0502]
org.eclipse.ltk.core.refactoring.tests   [3.9.0.v20210629-0141]
org.eclipse.ltk.ui.refactoring           [3.12.200.v20220808-2221]
org.eclipse.ltk.ui.refactoring.source    [3.12.200.v20220808-2221]
org.eclipse.ltk.ui.refactoring.tests     [3.10.0.v20210618-1953]
org.eclipse.osgi                         [3.18.100.v20220817-1601]
org.eclipse.osgi.compatibility.state     [1.2.700.v20220722-0431]
org.eclipse.osgi.compatibility.state.source [1.2.700.v20220722-0431]
org.eclipse.osgi.services                [3.11.0.v20220618-0838]
org.eclipse.osgi.services.source         [3.11.0.v20220618-0838]
org.eclipse.osgi.source                  [3.18.100.v20220817-1601]
org.eclipse.osgi.tests                   [3.16.800.v20220813-0558]
org.eclipse.osgi.util                    [3.7.100.v20220615-1601]
org.eclipse.osgi.util.source             [3.7.100.v20220615-1601]
org.eclipse.pde                          [3.13.2000.v20220831-1800]
org.eclipse.pde.api.tools                [1.2.1000.v20220816-0925]
org.eclipse.pde.api.tools.annotations    [1.1.500.v20220813-1730]
org.eclipse.pde.api.tools.annotations.source [1.1.500.v20220813-1730]
org.eclipse.pde.api.tools.source         [1.2.1000.v20220816-0925]
org.eclipse.pde.api.tools.tests          [1.2.700.v20220814-2333]
org.eclipse.pde.api.tools.ui             [1.2.700.v20220329-0844]
org.eclipse.pde.api.tools.ui.source      [1.2.700.v20220329-0844]
org.eclipse.pde.build                    [3.11.300.v20220822-0532]
org.eclipse.pde.build.source             [3.11.300.v20220822-0532]
org.eclipse.pde.build.tests              [1.3.500.v20220813-1730]
org.eclipse.pde.core                     [3.15.300.v20220822-0845]
org.eclipse.pde.core.source              [3.15.300.v20220822-0845]
org.eclipse.pde.doc.user                 [3.14.1700.v20220831-1613]
org.eclipse.pde.ds.annotations           [1.2.500.v20220811-0944]
org.eclipse.pde.ds.annotations.source    [1.2.500.v20220811-0944]
org.eclipse.pde.ds.core                  [1.2.500.v20220411-2005]
org.eclipse.pde.ds.core.source           [1.2.500.v20220411-2005]
org.eclipse.pde.ds.tests                 [1.2.100.v20220310-2159]
org.eclipse.pde.ds.ui                    [1.2.300.v20220310-2159]
org.eclipse.pde.ds.ui.source             [1.2.300.v20220310-2159]
org.eclipse.pde.genericeditor.extension  [1.1.300.v20220810-1011]
org.eclipse.pde.genericeditor.extension.source [1.1.300.v20220810-1011]
org.eclipse.pde.genericeditor.extension.tests [1.1.200.v20220810-1011]
org.eclipse.pde.junit.runtime            [3.6.200.v20220523-1051]
org.eclipse.pde.junit.runtime.source     [3.6.200.v20220523-1051]
org.eclipse.pde.junit.runtime.tests      [3.6.800.v20220715-1210]
org.eclipse.pde.launching                [3.10.100.v20220727-1044]
org.eclipse.pde.launching.source         [3.10.100.v20220727-1044]
org.eclipse.pde.runtime                  [3.7.400.v20220317-2150]
org.eclipse.pde.runtime.source           [3.7.400.v20220317-2150]
org.eclipse.pde.spy.bundle               [0.12.200.v20220512-1208]
org.eclipse.pde.spy.bundle.source        [0.12.200.v20220512-1208]
org.eclipse.pde.spy.context              [1.0.300.v20220512-1208]
org.eclipse.pde.spy.context.source       [1.0.300.v20220512-1208]
org.eclipse.pde.spy.core                 [1.0.200.v20220331-1637]
org.eclipse.pde.spy.core.source          [1.0.200.v20220331-1637]
org.eclipse.pde.spy.css                  [0.12.300.v20220512-1208]
org.eclipse.pde.spy.css.source           [0.12.300.v20220512-1208]
org.eclipse.pde.spy.event                [1.0.0.v20220513-0804]
org.eclipse.pde.spy.event.source         [1.0.0.v20220513-0804]
org.eclipse.pde.spy.model                [0.12.400.v20220621-1036]
org.eclipse.pde.spy.model.source         [0.12.400.v20220621-1036]
org.eclipse.pde.spy.preferences          [0.12.300.v20220512-1208]
org.eclipse.pde.spy.preferences.source   [0.12.300.v20220512-1208]
org.eclipse.pde.ua.core                  [1.2.300.v20211004-0555]
org.eclipse.pde.ua.core.source           [1.2.300.v20211004-0555]
org.eclipse.pde.ua.tests                 [1.2.0.v20200812-1819]
org.eclipse.pde.ua.ui                    [1.2.400.v20220317-0700]
org.eclipse.pde.ua.ui.source             [1.2.400.v20220317-0700]
org.eclipse.pde.ui                       [3.13.600.v20220831-0712]
org.eclipse.pde.ui.source                [3.13.600.v20220831-0712]
org.eclipse.pde.ui.templates             [3.7.700.v20220802-1520]
org.eclipse.pde.ui.templates.source      [3.7.700.v20220802-1520]
org.eclipse.pde.ui.templates.tests       [1.1.200.v20220430-0731]
org.eclipse.pde.ui.tests                 [3.11.900.v20220814-2333]
org.eclipse.pde.unittest.junit           [1.0.300.v20220805-0859]
org.eclipse.pde.unittest.junit.source    [1.0.300.v20220805-0859]
org.eclipse.platform                     [4.25.0.v20220831-1800]
org.eclipse.platform.doc.isv             [4.25.0.v20220831-1613]
org.eclipse.platform.doc.user            [4.25.0.v20220830-0901]
org.eclipse.platform.source              [4.25.0.v20220831-1800]
org.eclipse.rcp                          [4.25.0.v20220831-1800]
org.eclipse.releng.tests                 [3.5.400.v20220804-1311]
org.eclipse.sdk                          [4.25.0.v20220831-1800]
org.eclipse.sdk.examples                 [4.25.0.v20220831-1800]
org.eclipse.sdk.examples.source          [4.25.0.v20220831-1800]
org.eclipse.sdk.tests                    [4.25.0.v20220831-1800]
org.eclipse.search                       [3.14.200.v20220817-1340]
org.eclipse.search.source                [3.14.200.v20220817-1340]
org.eclipse.search.tests                 [3.10.100.v20210914-2150]
org.eclipse.swt                          [3.121.0.v20220829-1402]
org.eclipse.swt.cocoa.macosx.aarch64     [3.121.0.v20220829-1402]
org.eclipse.swt.cocoa.macosx.aarch64.source [3.121.0.v20220829-1402]
org.eclipse.swt.cocoa.macosx.x86_64      [3.121.0.v20220829-1402]
org.eclipse.swt.cocoa.macosx.x86_64.source [3.121.0.v20220829-1402]
org.eclipse.swt.examples                 [3.107.400.v20220725-1328]
org.eclipse.swt.examples.browser.demos   [3.107.100.v20220418-1921]
org.eclipse.swt.examples.browser.demos.source [3.107.100.v20220418-1921]
org.eclipse.swt.examples.launcher        [3.107.100.v20220418-1921]
org.eclipse.swt.examples.launcher.source [3.107.100.v20220418-1921]
org.eclipse.swt.examples.ole.win32       [3.108.0.v20210712-0608]
org.eclipse.swt.examples.ole.win32.source [3.108.0.v20210712-0608]
org.eclipse.swt.examples.source          [3.107.400.v20220725-1328]
org.eclipse.swt.examples.views           [3.107.100.v20220418-1921]
org.eclipse.swt.examples.views.source    [3.107.100.v20220418-1921]
org.eclipse.swt.gtk.linux.aarch64        [3.121.0.v20220829-1402]
org.eclipse.swt.gtk.linux.aarch64.source [3.121.0.v20220829-1402]
org.eclipse.swt.gtk.linux.ppc64le        [3.121.0.v20220829-1402]
org.eclipse.swt.gtk.linux.ppc64le.source [3.121.0.v20220829-1402]
org.eclipse.swt.gtk.linux.x86_64         [3.121.0.v20220829-1402]
org.eclipse.swt.gtk.linux.x86_64.source  [3.121.0.v20220829-1402]
org.eclipse.swt.tests                    [3.106.1800.v20220817-0929]
org.eclipse.swt.tools                    [3.109.500.v20220608-1600]
org.eclipse.swt.tools.base               [3.107.400.v20220418-1921]
org.eclipse.swt.tools.base.source        [3.107.400.v20220418-1921]
org.eclipse.swt.tools.source             [3.109.500.v20220608-1600]
org.eclipse.swt.tools.spies              [3.108.500.v20220826-1037]
org.eclipse.swt.tools.spies.source       [3.108.500.v20220826-1037]
org.eclipse.swt.win32.win32.x86_64       [3.121.0.v20220829-1402]
org.eclipse.swt.win32.win32.x86_64.source [3.121.0.v20220829-1402]
org.eclipse.team.core                    [3.9.500.v20220817-1539]
org.eclipse.team.core.source             [3.9.500.v20220817-1539]
org.eclipse.team.examples.filesystem     [3.6.100.v20220812-1406]
org.eclipse.team.examples.filesystem.source [3.6.100.v20220812-1406]
org.eclipse.team.genericeditor.diff.extension [1.1.100.v20220812-1406]
org.eclipse.team.genericeditor.diff.extension.source [1.1.100.v20220812-1406]
org.eclipse.team.tests.core              [3.9.100.v20220812-1406]
org.eclipse.team.ui                      [3.9.400.v20220817-1539]
org.eclipse.team.ui.source               [3.9.400.v20220817-1539]
org.eclipse.test                         [3.5.100.v20220710-2055]
org.eclipse.test.performance             [3.19.0.v20220824-0342]
org.eclipse.test.performance.win32       [3.1.500.v20211012-2002]
org.eclipse.test.source                  [3.5.100.v20220710-2055]
org.eclipse.tests.urischeme              [1.1.200.v20220720-2118]
org.eclipse.text                         [3.12.200.v20220817-1340]
org.eclipse.text.quicksearch             [1.1.300.v20211203-1705]
org.eclipse.text.quicksearch.source      [1.1.300.v20211203-1705]
org.eclipse.text.quicksearch.tests       [1.1.200.v20211019-0727]
org.eclipse.text.source                  [3.12.200.v20220817-1340]
org.eclipse.text.tests                   [3.13.100.v20210629-1413]
org.eclipse.tips.core                    [0.2.0.v20210317-2216]
org.eclipse.tips.core.source             [0.2.0.v20210317-2216]
org.eclipse.tips.ide                     [0.2.100.v20220811-0542]
org.eclipse.tips.ide.source              [0.2.100.v20220811-0542]
org.eclipse.tips.json                    [0.2.200.v20220619-1918]
org.eclipse.tips.json.source             [0.2.200.v20220619-1918]
org.eclipse.tips.ui                      [0.2.0.v20210317-2216]
org.eclipse.tips.ui.source               [0.2.0.v20210317-2216]
org.eclipse.tools.layout.spy             [1.1.0.v20210110-1247]
org.eclipse.tools.layout.spy.source      [1.1.0.v20210110-1247]
org.eclipse.ua.tests                     [3.5.300.v20220727-0444]
org.eclipse.ua.tests.doc                 [1.1.400.v20220727-0444]
org.eclipse.ui                           [3.201.100.v20220826-1037]
org.eclipse.ui.browser                   [3.7.200.v20220826-1037]
org.eclipse.ui.browser.source            [3.7.200.v20220826-1037]
org.eclipse.ui.cheatsheets               [3.7.400.v20220715-1705]
org.eclipse.ui.cheatsheets.source        [3.7.400.v20220715-1705]
org.eclipse.ui.cocoa                     [1.2.400.v20191217-1850]
org.eclipse.ui.cocoa.source              [1.2.400.v20191217-1850]
org.eclipse.ui.console                   [3.11.300.v20220811-1921]
org.eclipse.ui.console.source            [3.11.300.v20220811-1921]
org.eclipse.ui.editors                   [3.14.400.v20220730-1844]
org.eclipse.ui.editors.source            [3.14.400.v20220730-1844]
org.eclipse.ui.editors.tests             [3.12.500.v20220325-1244]
org.eclipse.ui.examples.contributions    [3.5.0.v20210111-1205]
org.eclipse.ui.examples.contributions.source [3.5.0.v20210111-1205]
org.eclipse.ui.examples.fieldassist      [1.2.200.v20211010-0529]
org.eclipse.ui.examples.fieldassist.source [1.2.200.v20211010-0529]
org.eclipse.ui.examples.javaeditor       [3.3.100.v20211002-0534]
org.eclipse.ui.examples.javaeditor.source [3.3.100.v20211002-0534]
org.eclipse.ui.examples.multipageeditor  [3.3.0.v20210111-1233]
org.eclipse.ui.examples.multipageeditor.source [3.3.0.v20210111-1233]
org.eclipse.ui.examples.propertysheet    [3.4.0.v20210111-1234]
org.eclipse.ui.examples.propertysheet.source [3.4.0.v20210111-1234]
org.eclipse.ui.examples.readmetool       [3.6.0.v20210111-1232]
org.eclipse.ui.examples.readmetool.source [3.6.0.v20210111-1232]
org.eclipse.ui.examples.undo             [3.4.0.v20210111-1227]
org.eclipse.ui.examples.undo.source      [3.4.0.v20210111-1227]
org.eclipse.ui.examples.uriSchemeHandler [1.1.100.v20211010-0529]
org.eclipse.ui.examples.uriSchemeHandler.source [1.1.100.v20211010-0529]
org.eclipse.ui.examples.views.properties.tabbed.article [3.3.0.v20210111-1231]
org.eclipse.ui.examples.views.properties.tabbed.article.source [3.3.0.v20210111-1231]
org.eclipse.ui.externaltools             [3.5.200.v20220618-1805]
org.eclipse.ui.externaltools.source      [3.5.200.v20220618-1805]
org.eclipse.ui.forms                     [3.11.400.v20220817-1444]
org.eclipse.ui.forms.source              [3.11.400.v20220817-1444]
org.eclipse.ui.genericeditor             [1.2.200.v20211217-1247]
org.eclipse.ui.genericeditor.examples    [1.2.0.v20210118-1209]
org.eclipse.ui.genericeditor.examples.source [1.2.0.v20210118-1209]
org.eclipse.ui.genericeditor.source      [1.2.200.v20211217-1247]
org.eclipse.ui.genericeditor.tests       [1.2.100.v20211129-1028]
org.eclipse.ui.ide                       [3.19.100.v20220820-0412]
org.eclipse.ui.ide.application           [1.4.500.v20220623-0641]
org.eclipse.ui.ide.application.source    [1.4.500.v20220623-0641]
org.eclipse.ui.ide.source                [3.19.100.v20220820-0412]
org.eclipse.ui.intro                     [3.6.600.v20220619-1918]
org.eclipse.ui.intro.quicklinks          [1.1.200.v20220619-1918]
org.eclipse.ui.intro.quicklinks.source   [1.1.200.v20220619-1918]
org.eclipse.ui.intro.source              [3.6.600.v20220619-1918]
org.eclipse.ui.intro.universal           [3.4.300.v20220619-1918]
org.eclipse.ui.intro.universal.source    [3.4.300.v20220619-1918]
org.eclipse.ui.monitoring                [1.2.200.v20220429-1040]
org.eclipse.ui.monitoring.source         [1.2.200.v20220429-1040]
org.eclipse.ui.navigator                 [3.10.300.v20220817-1444]
org.eclipse.ui.navigator.resources       [3.8.400.v20220203-1803]
org.eclipse.ui.navigator.resources.source [3.8.400.v20220203-1803]
org.eclipse.ui.navigator.source          [3.10.300.v20220817-1444]
org.eclipse.ui.net                       [1.4.100.v20220812-1406]
org.eclipse.ui.net.source                [1.4.100.v20220812-1406]
org.eclipse.ui.source                    [3.201.100.v20220826-1037]
org.eclipse.ui.tests                     [3.15.700.v20220824-2015]
org.eclipse.ui.tests.forms               [3.9.200.v20220720-2118]
org.eclipse.ui.tests.harness             [1.8.300.v20220720-2118]
org.eclipse.ui.tests.navigator           [3.6.300.v20220720-2118]
org.eclipse.ui.tests.performance         [1.4.300.v20220720-2118]
org.eclipse.ui.tests.pluginchecks        [1.1.100.v20220720-2118]
org.eclipse.ui.tests.rcp                 [3.5.100.v20220720-2118]
org.eclipse.ui.tests.views.properties.tabbed [3.7.200.v20220720-2118]
org.eclipse.ui.themes                    [1.2.2000.v20220614-2134]
org.eclipse.ui.themes.source             [1.2.2000.v20220614-2134]
org.eclipse.ui.trace                     [1.2.200.v20220310-2159]
org.eclipse.ui.trace.source              [1.2.200.v20220310-2159]
org.eclipse.ui.views                     [3.11.200.v20220817-1444]
org.eclipse.ui.views.log                 [1.3.300.v20220717-1456]
org.eclipse.ui.views.log.source          [1.3.300.v20220717-1456]
org.eclipse.ui.views.properties.tabbed   [3.9.200.v20220717-1456]
org.eclipse.ui.views.properties.tabbed.source [3.9.200.v20220717-1456]
org.eclipse.ui.views.source              [3.11.200.v20220817-1444]
org.eclipse.ui.win32                     [3.4.400.v20200414-1247]
org.eclipse.ui.win32.source              [3.4.400.v20200414-1247]
org.eclipse.ui.workbench                 [3.126.0.v20220823-0718]
org.eclipse.ui.workbench.source          [3.126.0.v20220823-0718]
org.eclipse.ui.workbench.texteditor      [3.16.600.v20220809-1658]
org.eclipse.ui.workbench.texteditor.source [3.16.600.v20220809-1658]
org.eclipse.ui.workbench.texteditor.tests [3.13.100.v20210629-1413]
org.eclipse.unittest.ui                  [1.0.100.v20210429-0605]
org.eclipse.unittest.ui.source           [1.0.100.v20210429-0605]
org.eclipse.update.configurator          [3.4.900.v20220718-1722]
org.eclipse.update.configurator.source   [3.4.900.v20220718-1722]
org.eclipse.urischeme                    [1.2.100.v20211001-1648]
org.eclipse.urischeme.source             [1.2.100.v20211001-1648]
org.hamcrest.core                        [1.3.0.v20180420-1519]
org.hamcrest.core.source                 [1.3.0.v20180420-1519]
org.junit                                [4.13.2.v20211018-1956]
org.junit.source                         [4.13.2.v20211018-1956]
org.mockito.mockito-core                 [4.6.1]
org.objectweb.asm                        [9.3.0]
org.objectweb.asm.tree                   [9.3.0]
org.objenesis                            [3.2.0]
org.opentest4j                           [1.2.0]
org.opentest4j.source                    [1.2.0]
org.osgi.annotation.bundle               [2.0.0.202202082230]
org.osgi.annotation.versioning           [1.1.2.202109301733]
org.osgi.service.cm                      [1.6.1.202109301733]
org.osgi.service.cm.source               [1.6.1.202109301733]
org.osgi.service.component               [1.5.0.202109301733]
org.osgi.service.component.annotations   [1.5.0.202109301733]
org.osgi.service.component.source        [1.5.0.202109301733]
org.osgi.service.coordinator             [1.0.2.201505202024]
org.osgi.service.coordinator.source      [1.0.2.201505202024]
org.osgi.service.device                  [1.1.1.202109301733]
org.osgi.service.device.source           [1.1.1.202109301733]
org.osgi.service.event                   [1.4.1.202109301733]
org.osgi.service.event.source            [1.4.1.202109301733]
org.osgi.service.log.stream              [1.0.0.202109301733]
org.osgi.service.log.stream.source       [1.0.0.202109301733]
org.osgi.service.metatype                [1.4.1.202109301733]
org.osgi.service.metatype.source         [1.4.1.202109301733]
org.osgi.service.prefs                   [1.1.2.202109301733]
org.osgi.service.prefs.source            [1.1.2.202109301733]
org.osgi.service.provisioning            [1.2.0.201505202024]
org.osgi.service.provisioning.source     [1.2.0.201505202024]
org.osgi.service.upnp                    [1.2.1.202109301733]
org.osgi.service.upnp.source             [1.2.1.202109301733]
org.osgi.service.useradmin               [1.1.1.202109301733]
org.osgi.service.useradmin.source        [1.1.1.202109301733]
org.osgi.service.wireadmin               [1.0.2.202109301733]
org.osgi.service.wireadmin.source        [1.0.2.202109301733]
org.osgi.util.function                   [1.2.0.202109301733]
org.osgi.util.function.source            [1.2.0.202109301733]
org.osgi.util.measurement                [1.0.2.201802012109]
org.osgi.util.measurement.source         [1.0.2.201802012109]
org.osgi.util.position                   [1.0.1.201505202026]
org.osgi.util.position.source            [1.0.1.201505202026]
org.osgi.util.promise                    [1.2.0.202109301733]
org.osgi.util.promise.source             [1.2.0.202109301733]
org.osgi.util.pushstream                 [1.0.2.202109301733]
org.osgi.util.pushstream.source          [1.0.2.202109301733]
org.osgi.util.xml                        [1.0.2.202109301733]
org.osgi.util.xml.source                 [1.0.2.202109301733]
org.sat4j.core                           [2.3.6.v20201214]
org.sat4j.core.source                    [2.3.6.v20201214]
org.sat4j.pb                             [2.3.6.v20201214]
org.sat4j.pb.source                      [2.3.6.v20201214]
org.slf4j.api                            [1.7.30.v20200204-2150]
org.slf4j.api.source                     [1.7.30.v20200204-2150]
org.tukaani.xz                           [1.9.0]
org.tukaani.xz.source                    [1.9.0]
org.w3c.css.sac                          [1.3.1.v200903091627]
org.w3c.css.sac.source                   [1.3.1.v200903091627]
org.w3c.dom.events                       [3.0.0.draft20060413_v201105210656]
org.w3c.dom.events.source                [3.0.0.draft20060413_v201105210656]
org.w3c.dom.smil                         [1.0.1.v200903091627]
org.w3c.dom.smil.source                  [1.0.1.v200903091627]
org.w3c.dom.svg                          [1.1.0.v201011041433]
org.w3c.dom.svg.source                   [1.1.0.v201011041433]
